Id,BldgType,OverallQual,GrLivArea,GarageArea,SalePrice
816,1Fam,7,1661,598,224900
817,1Fam,5,1008,275,137000
818,1Fam,8,1689,857,271000
819,1Fam,6,1052,440,155000
820,TwnhsE,7,1358,484,224000
821,1Fam,7,1640,595,183000
822,2FmCon,4,936,576,93000
823,1Fam,7,1733,433,225000
824,1Fam,6,1489,240,139500
825,1Fam,8,1489,776,232600
826,1Fam,10,2084,1220,385000
827,1Fam,5,784,0,109500
828,1Fam,7,1434,527,189000
829,1Fam,5,2126,538,185000
830,TwnhsI,7,1223,480,147400
831,1Fam,6,1392,458,166000
832,TwnhsE,7,1200,480,151000
833,1Fam,7,1829,613,237000
834,1Fam,6,1516,472,167000
835,1Fam,5,1144,456,139950
836,1Fam,4,1067,436,128000
837,1Fam,5,1559,812,153500
838,TwnhsI,6,987,264,100000
839,1Fam,5,1099,352,144000
840,1Fam,5,1200,240,130500
841,1Fam,6,1482,400,140000
842,1Fam,5,1539,686,157500
843,1Fam,6,1165,490,174900
844,Duplx,5,1800,0,141000
845,1Fam,5,1416,720,153900
846,1Fam,5,1701,611,171000
847,1Fam,7,1775,425,213000
848,1Fam,5,864,338,133500
849,1Fam,6,2358,360,240000
850,1Fam,6,1855,512,187000
851,TwnhsE,6,848,420,131500
852,TwnhsE,8,1456,400,215000
853,1Fam,7,1646,240,164000
854,1Fam,6,1445,645,158000
855,1Fam,5,1779,454,170000
856,1Fam,5,1040,260,127000
857,1Fam,6,1026,576,147000
858,1Fam,6,1481,343,174000
859,1Fam,7,1370,479,152000
860,1Fam,6,2654,619,250000
861,1Fam,7,1426,216,189950
862,2FmCon,5,1039,504,131500
863,1Fam,6,1097,480,152000
864,1Fam,5,1148,672,132500
865,1Fam,7,1372,529,250580
866,1Fam,5,1002,902,148500
867,1Fam,8,1646,870,248900
868,1Fam,4,1120,544,129000
869,1Fam,5,2320,672,169000
870,1Fam,7,1949,574,236000
871,1Fam,5,894,308,109500
872,1Fam,6,1682,523,200500
873,1Fam,5,910,414,116000
874,1Fam,5,1268,288,133000
875,1Fam,5,1131,200,66500
876,1Fam,8,2610,550,303477
877,1Fam,4,1040,648,132250
878,1Fam,9,2224,738,350000
879,1Fam,5,1155,576,148000
880,1Fam,5,864,336,136500
881,1Fam,5,1090,450,157000
882,1Fam,7,1717,400,187500
883,1Fam,6,1593,389,178000
884,1Fam,4,2230,440,118500
885,1Fam,5,892,288,100000
886,TwnhsE,9,1709,506,328900
887,Duplx,5,1712,588,145000
888,1Fam,5,1393,300,135500
889,1Fam,8,2217,621,268000
890,1Fam,6,1505,505,149500
891,1Fam,5,924,576,122900
892,1Fam,6,1683,440,172500
893,1Fam,6,1068,264,154500
894,1Fam,5,1383,354,165000
895,Duplx,5,1535,400,118858
896,1Fam,6,1796,483,140000
897,1Fam,4,951,327,106500
898,Duplx,5,2240,528,142953
899,1Fam,9,2364,820,611657
900,1Fam,5,1236,288,135000
901,1Fam,4,858,684,110000
902,1Fam,5,1306,756,153000
903,1Fam,7,1509,393,180000
904,1Fam,7,1670,690,240000
905,1Fam,5,902,288,125500
906,1Fam,5,1063,280,128000
907,1Fam,8,1636,865,255000
908,1Fam,7,2057,180,250000
909,1Fam,5,902,484,131000
910,1Fam,6,1484,390,174000
911,Duplx,5,2274,480,154300
912,1Fam,5,1268,252,143500
913,1Fam,5,1015,450,88000
914,Duplx,5,2002,871,145000
915,TwnhsE,6,1224,528,173733
916,TwnhsI,4,1092,286,75000
917,1Fam,2,480,308,35311
918,1Fam,4,1229,284,135000
919,1Fam,7,2127,833,238000
920,1Fam,6,1414,601,176500
921,1Fam,6,1721,471,201000
922,Duplx,5,2200,0,145900
923,1Fam,6,1316,397,169990
924,TwnhsE,6,1617,533,193000
925,1Fam,6,1686,612,207500
926,1Fam,5,1126,540,175000
927,1Fam,8,2374,656,285000
928,1Fam,7,1978,486,176000
929,1Fam,8,1788,522,236500
930,1Fam,7,2236,642,222000
931,1Fam,8,1466,610,201000
932,1Fam,5,925,429,117500
933,1Fam,9,1905,788,320000
934,1Fam,7,1500,570,190000
935,1Fam,7,2069,505,242000
936,1Fam,4,747,528,79900
937,1Fam,7,1200,555,184900
938,1Fam,7,1971,689,253000
939,1Fam,7,1962,868,239799
940,1Fam,7,2403,349,244400
941,Duplx,6,1728,574,150900
942,1Fam,7,2060,390,214000
943,Duplx,4,1440,0,150000
944,Duplx,5,1632,576,143000
945,1Fam,6,1344,525,137500
946,1Fam,5,1869,456,124900
947,1Fam,5,1144,796,143000
948,1Fam,8,1629,808,270000
949,1Fam,7,1776,474,192500
950,1Fam,6,1381,676,197500
951,1Fam,5,864,720,129000
952,1Fam,5,965,300,119900
953,1Fam,5,768,396,133900
954,1Fam,5,1968,530,172000
955,Duplx,6,980,0,127500
956,Duplx,6,1958,492,145000
957,TwnhsE,6,1229,462,124000
958,1Fam,5,1057,576,132000
959,1Fam,7,1337,531,185000
960,TwnhsI,7,1416,484,155000
961,1Fam,5,858,0,116500
962,1Fam,6,2872,619,272000
963,TwnhsE,6,1548,440,155000
964,1Fam,9,1800,702,239000
965,1Fam,7,1894,510,214900
966,1Fam,6,1484,393,178900
967,1Fam,5,1308,256,160000
968,1Fam,5,1098,260,135000
969,1Fam,3,968,0,37900
970,2FmCon,6,1095,264,140000
971,1Fam,4,1192,0,135000
972,TwnhsI,7,1626,474,173000
973,TwnhsE,6,918,264,99500
974,1Fam,7,1428,480,182000
975,1Fam,7,2019,532,167500
976,TwnhsI,7,1382,490,165000
977,1Fam,4,869,0,85500
978,TwnhsE,7,1241,569,199900
979,1Fam,4,894,400,110000
980,1Fam,5,1121,480,139000
981,1Fam,7,999,588,178400
982,1Fam,8,2612,676,336000
983,1Fam,7,1266,388,159895
984,1Fam,8,2290,779,255900
985,Duplx,5,1734,539,126000
986,2FmCon,5,1164,240,125000
987,1Fam,6,1635,255,117000
988,1Fam,9,1940,606,395192
989,1Fam,6,2030,551,195000
990,1Fam,7,1576,614,197000
991,1Fam,8,2392,870,348000
992,1Fam,8,1742,424,168000
993,1Fam,6,1851,440,187000
994,1Fam,6,1500,564,173900
995,1Fam,10,1718,786,337500
996,1Fam,4,1230,305,121600
997,1Fam,5,1050,368,136500
998,1Fam,6,1442,615,185000
999,1Fam,3,1077,210,91000
1000,1Fam,7,1208,632,206000
